date,count
2024-08-23,3344
2024-08-24,2752
2024-08-25,2728
2024-08-26,2808
2024-08-27,2584
2024-08-28,2664
2024-08-29,2672
2024-08-30,2608
2024-08-31,3128
2024-09-01,2656
2024-09-02,2904
2024-09-03,2984
2024-09-04,2736
2024-09-05,2728
2024-09-06,2728
2024-09-07,2728
2024-09-08,3096
2024-09-09,3088
2024-09-10,3032
2024-09-11,2648
2024-09-12,2608
2024-09-13,2640
2024-09-14,2672
2024-09-15,2392
2024-09-16,2416
2024-09-17,2592
2024-09-18,2600
2024-09-19,2448
2024-09-20,2448
2024-09-21,2448
2024-09-22,2448
2024-09-23,2648
2024-09-24,2672
2024-09-25,2832
2024-09-26,2624
2024-09-27,3128
2024-09-28,3184
2024-09-29,2552
2024-09-30,3000
2024-10-01,2792
2024-10-02,3368
2024-10-03,2728
2024-10-04,2848
2024-10-05,2500
2024-10-06,2500
2024-10-07,2768
2024-10-08,3112
2024-10-09,3008
2024-10-10,2976
2024-10-12,2568
2024-10-12,2328
2024-10-13,2816
2024-10-14,2424
2024-10-15,2952
2024-10-16,2768
2024-10-17,2408
2024-10-18,2696
2024-10-19,2856
2024-10-20,2856
2024-10-21,2824
2024-10-22,2992
2024-10-23,2864
2024-10-24,2872
2024-10-25,2896
2024-10-26,2904
2024-10-27,2920
2024-10-28,2536
2024-10-29,2840
2024-10-30,2720
2024-10-31,2728
2024-11-01,2928
2024-11-02,2648
2024-11-03,2240
2024-11-04,2776
2024-11-05,2312
2024-11-06,2688
2024-11-07,2528
2024-11-08,2792
2024-11-09,2736
2024-11-10,2736
2024-11-11,2808
2024-11-12,2680
2024-11-13,2584
2024-11-14,2616
2024-11-15,2640
2024-11-16,2656
2024-11-17,2680
2024-11-18,2752
2024-11-19,2832
2024-11-20,2832
2024-11-21,2568
2024-11-22,2640
2024-11-23,2840
2024-11-24,2840
2024-11-25,2704
2024-11-26,2704
2024-11-27,2536
2024-11-28,3208
2024-11-29,2048
2024-11-30,3200
2024-12-01,2968
2024-12-02,2968
2024-12-03,3040
2024-12-04,3176
2024-12-05,3128
2024-12-06,2936
2024-12-07,2936
2024-12-08,2736
2024-12-09,2488
2024-12-10,3176
2024-12-11,3328
2024-12-12,2872
2024-12-13,3288
2024-12-14,2840
2024-12-15,3448
2024-12-16,3096
2024-12-17,2960
2024-12-18,3016
2024-12-19,2968
2024-12-20,2928
2024-12-21,2632
2024-12-22,3000
2024-12-23,2968
2024-12-24,2968
2024-12-25,2968
2024-12-26,2824
2024-12-27,3000
2024-12-28,3096
2024-12-29,2856
2024-12-30,2880
2024-12-31,2496
2025-01-01,2880
2025-01-02,2872
2025-01-03,2848
2025-01-04,2744
2025-01-05,2728
2025-01-06,2848
2025-01-07,2840
2025-01-08,2824
2025-01-09,2776
2025-01-10,2664
